"Country or Area","Year","Value","Value Footnotes"
"Afghanistan","2012","473007",""
"Afghanistan","2007","-677497",""
"Afghanistan","2002","804120",""
"Afghanistan","1997","-379474",""
"Afghanistan","1992","2227474",""
"Afghanistan","1987","-1484185",""
"Afghanistan","1982","-3418299",""
"Afghanistan","1977","-1117459",""
"Afghanistan","1972","-20000",""
"Afghanistan","1967","-20000",""
"Afghanistan","1962","-20000",""
"Albania","2012","-91750",""
"Albania","2007","-252926",""
"Albania","2002","-175406",""
"Albania","1997","-179606",""
"Albania","1992","-443212",""
"Albania","1987","-99",""
"Albania","1982","-99",""
"Albania","1977","-99",""
"Albania","1972","-99",""
"Albania","1967","-99",""
"Albania","1962","-99",""
"Algeria","2012","-143268",""
"Algeria","2007","-357340",""
"Algeria","2002","-205228",""
"Algeria","1997","-164413",""
"Algeria","1992","-128679",""
"Algeria","1987","-93302",""
"Algeria","1982","-81020",""
"Algeria","1977","-224833",""
"Algeria","1972","-247822",""
"Algeria","1967","-121335",""
"Algeria","1962","-284266",""
"Angola","2012","102322",""
"Angola","2007","85286",""
"Angola","2002","172594",""
"Angola","1997","-126701",""
"Angola","1992","142811",""
"Angola","1987","-150282",""
"Angola","1982","234149",""
"Angola","1977","11455",""
"Angola","1972","-80955",""
"Angola","1967","-201155",""
"Angola","1962","-135000",""
"Antigua and Barbuda","2012","-56",""
"Antigua and Barbuda","2007","-92",""
"Antigua and Barbuda","2002","-282",""
"Antigua and Barbuda","1997","4421",""
"Antigua and Barbuda","1992","2617",""
"Antigua and Barbuda","1987","-7629",""
"Antigua and Barbuda","1982","-8840",""
"Antigua and Barbuda","1977","-3492",""
"Antigua and Barbuda","1972","-2874",""
"Antigua and Barbuda","1967","-1625",""
"Antigua and Barbuda","1962","-1703",""
"Arab World","2012","-1168750",""
"Arab World","2007","4413525",""
"Arab World","2002","396646",""
"Arab World","1997","-1432980",""
"Arab World","1992","293332",""
"Arab World","1987","-1021606",""
"Arab World","1982","103693",""
"Arab World","1977","1697107",""
"Arab World","1972","-876979",""
"Arab World","1967","-849826",""
"Arab World","1962","-485569",""
"Argentina","2012","30000",""
"Argentina","2007","-84998",""
"Argentina","2002","-90000",""
"Argentina","1997","-80000",""
"Argentina","1992","29999",""
"Argentina","1987","160002",""
"Argentina","1982","139999",""
"Argentina","1977","-230001",""
"Argentina","1972","290000",""
"Argentina","1967","130001",""
"Argentina","1962","122001",""
"Armenia","2012","-9876",""
"Armenia","2007","-136009",""
"Armenia","2002","-143966",""
"Armenia","1997","-223873",""
"Armenia","1992","-496288",""
"Armenia","1987","-58313",""
"Armenia","1982","-22331",""
"Armenia","1977","35724",""
"Armenia","1972","86404",""
"Armenia","1967","103399",""
"Armenia","1962","70335",""
"Aruba","2012","1253",""
"Aruba","2007","-441",""
"Aruba","2002","6263",""
"Aruba","1997","6926",""
"Aruba","1992","14218",""
"Aruba","1987","-5194",""
"Aruba","1982","-1921",""
"Aruba","1977","-5470",""
"Aruba","1972","-3537",""
"Aruba","1967","-4275",""
"Aruba","1962","-4323",""
"Australia","2012","1023107",""
"Australia","2007","1132688",""
"Australia","2002","575104",""
"Australia","1997","377552",""
"Australia","1992","351078",""
"Australia","1987","666233",""
"Australia","1982","456227",""
"Australia","1977","235744",""
"Australia","1972","264129",""
"Australia","1967","852782",""
"Australia","1962","382989",""
"Austria","2012","147089",""
"Austria","2007","153763",""
"Austria","2002","178117",""
"Austria","1997","65082",""
"Austria","1992","227841",""
"Austria","1987","110999",""
"Austria","1982","18002",""
"Austria","1977","5502",""
"Austria","1972","82001",""
"Austria","1967","50401",""
"Austria","1962","15996",""
"Azerbaijan","2012","-16125",""
"Azerbaijan","2007","-96798",""
"Azerbaijan","2002","10655",""
"Azerbaijan","1997","-119785",""
"Azerbaijan","1992","-105573",""
"Azerbaijan","1987","-118757",""
"Azerbaijan","1982","-40822",""
"Azerbaijan","1977","-28122",""
"Azerbaijan","1972","14620",""
"Azerbaijan","1967","50466",""
"Azerbaijan","1962","66429",""
"Bahamas, The","2012","9672",""
"Bahamas, The","2007","14363",""
"Bahamas, The","2002","15483",""
"Bahamas, The","1997","-3097",""
"Bahamas, The","1992","-395",""
"Bahamas, The","1987","-1099",""
"Bahamas, The","1982","180",""
"Bahamas, The","1977","2791",""
"Bahamas, The","1972","887",""
"Bahamas, The","1967","14080",""
"Bahamas, The","1962","14357",""
"Bahrain","2012","29915",""
"Bahrain","2007","316544",""
"Bahrain","2002","133500",""
"Bahrain","1997","43086",""
"Bahrain","1992","5480",""
"Bahrain","1987","12899",""
"Bahrain","1982","3195",""
"Bahrain","1977","48962",""
"Bahrain","1972","19123",""
"Bahrain","1967","-7199",""
"Bahrain","1962","-4341",""
"Bangladesh","2012","-2226481",""
"Bangladesh","2007","-3570954",""
"Bangladesh","2002","-1700003",""
"Bangladesh","1997","-756121",""
"Bangladesh","1992","-853717",""
"Bangladesh","1987","-219363",""
"Bangladesh","1982","-837319",""
"Bangladesh","1977","-1101492",""
"Bangladesh","1972","-3028254",""
"Bangladesh","1967","-161822",""
"Bangladesh","1962","-142378",""
"Barbados","2012","2180",""
"Barbados","2007","2050",""
"Barbados","2002","-77",""
"Barbados","1997","-1323",""
"Barbados","1992","-3263",""
"Barbados","1987","-4077",""
"Barbados","1982","-5589",""
"Barbados","1977","-3595",""
"Barbados","1972","-5433",""
"Barbados","1967","-11880",""
"Barbados","1962","-15903",""
"Belarus","2012","120535",""
"Belarus","2007","63933",""
"Belarus","2002","-6382",""
"Belarus","1997","56146",""
"Belarus","1992","-63057",""
"Belarus","1987","-6309",""
"Belarus","1982","47114",""
"Belarus","1977","10001",""
"Belarus","1972","23022",""
"Belarus","1967","57574",""
"Belarus","1962","-125387",""
"Belgium","2012","269998",""
"Belgium","2007","267204",""
"Belgium","2002","247560",""
"Belgium","1997","67177",""
"Belgium","1992","115391",""
"Belgium","1987","44794",""
"Belgium","1982","13460",""
"Belgium","1977","70243",""
"Belgium","1972","39275",""
"Belgium","1967","86168",""
"Belgium","1962","71911",""
"Belize","2012","7594",""
"Belize","2007","8722",""
"Belize","2002","5797",""
"Belize","1997","11909",""
"Belize","1992","-9011",""
"Belize","1987","-5404",""
"Belize","1982","-5332",""
"Belize","1977","-13542",""
"Belize","1972","-10665",""
"Belize","1967","-2957",""
"Belize","1962","-2418",""
"Benin","2012","-10000",""
"Benin","2007","50000",""
"Benin","2002","98831",""
"Benin","1997","-29287",""
"Benin","1992","105000",""
"Benin","1987","-8723",""
"Benin","1982","-10848",""
"Benin","1977","-19393",""
"Benin","1972","-24845",""
"Benin","1967","-23742",""
"Benin","1962","-24295",""
"Bhutan","2012","10000",""
"Bhutan","2007","16829",""
"Bhutan","2002","34976",""
"Bhutan","1997","143",""
"Bhutan","1992","-85887",""
"Bhutan","1987","1595",""
"Bhutan","1982","797",""
"Bhutan","1977","15000",""
"Bhutan","1972","20000",""
"Bhutan","1967","10000",""
"Bhutan","1962","5000",""
"Bolivia","2012","-61794",""
"Bolivia","2007","-84003",""
"Bolivia","2002","-89995",""
"Bolivia","1997","-83002",""
"Bolivia","1992","-90997",""
"Bolivia","1987","-106998",""
"Bolivia","1982","-87002",""
"Bolivia","1977","-60007",""
"Bolivia","1972","-42998",""
"Bolivia","1967","-37001",""
"Bolivia","1962","-34003",""
"Bosnia and Herzegovina","2012","-2506",""
"Bosnia and Herzegovina","2007","3677",""
"Bosnia and Herzegovina","2002","34820",""
"Bosnia and Herzegovina","1997","-160020",""
"Bosnia and Herzegovina","1992","-748374",""
"Bosnia and Herzegovina","1987","-56374",""
"Bosnia and Herzegovina","1982","-29999",""
"Bosnia and Herzegovina","1977","-74999",""
"Bosnia and Herzegovina","1972","-74999",""
"Bosnia and Herzegovina","1967","-99999",""
"Bosnia and Herzegovina","1962","-50002",""
"Botswana","2012","20000",""
"Botswana","2007","18730",""
"Botswana","2002","21278",""
"Botswana","1997","24546",""
"Botswana","1992","17864",""
"Botswana","1987","5803",""
"Botswana","1982","601",""
"Botswana","1977","14845",""
"Botswana","1972","2326",""
"Botswana","1967","-6020",""
"Botswana","1962","-15000",""
"Brazil","2012","15924",""
"Brazil","2007","0",""
"Brazil","2002","0",""
"Brazil","1997","0",""
"Brazil","1992","0",""
"Brazil","1987","0",""
"Brazil","1982","0",""
"Brazil","1977","0",""
"Brazil","1972","0",""
"Brazil","1967","0",""
"Brazil","1962","0",""
"Brunei Darussalam","2012","2102",""
"Brunei Darussalam","2007","2441",""
"Brunei Darussalam","2002","2294",""
"Brunei Darussalam","1997","1852",""
"Brunei Darussalam","1992","1346",""
"Brunei Darussalam","1987","243",""
"Brunei Darussalam","1982","1827",""
"Brunei Darussalam","1977","5624",""
"Brunei Darussalam","1972","8005",""
"Brunei Darussalam","1967","10747",""
"Brunei Darussalam","1962","5209",""
"Bulgaria","2012","-50000",""
"Bulgaria","2007","-83002",""
"Bulgaria","2002","-83002",""
"Bulgaria","1997","-106602",""
"Bulgaria","1992","-356464",""
"Bulgaria","1987","-184143",""
"Bulgaria","1982","-22346",""
"Bulgaria","1977","-94868",""
"Bulgaria","1972","-43396",""
"Bulgaria","1967","-6423",""
"Bulgaria","1962","-1437",""
"Burkina Faso","2012","-125000",""
"Burkina Faso","2007","-125000",""
"Burkina Faso","2002","-125000",""
"Burkina Faso","1997","-137499",""
"Burkina Faso","1992","-150001",""
"Burkina Faso","1987","-183699",""
"Burkina Faso","1982","-217400",""
"Burkina Faso","1977","-217400",""
"Burkina Faso","1972","-170263",""
"Burkina Faso","1967","-144723",""
"Burkina Faso","1962","-144723",""
"Burundi","2012","40000",""
"Burundi","2007","163733",""
"Burundi","2002","112532",""
"Burundi","1997","-404999",""
"Burundi","1992","-250000",""
"Burundi","1987","-44320",""
"Burundi","1982","-86002",""
"Burundi","1977","-150288",""
"Burundi","1972","-260594",""
"Burundi","1967","-57900",""
"Burundi","1962","-84989",""
"Cambodia","2012","-149999",""
"Cambodia","2007","-295987",""
"Cambodia","2002","-35156",""
"Cambodia","1997","348495",""
"Cambodia","1992","409414",""
"Cambodia","1987","-78022",""
"Cambodia","1982","-88854",""
"Cambodia","1977","-84999",""
"Cambodia","1972","-125000",""
"Cambodia","1967","-225001",""
"Cambodia","1962","0",""
"Cameroon","2012","-60000",""
"Cameroon","2007","-90000",""
"Cameroon","2002","-90000",""
"Cameroon","1997","-80000",""
"Cameroon","1992","-80000",""
"Cameroon","1987","-65000",""
"Cameroon","1982","-55000",""
"Cameroon","1977","-8000",""
"Cameroon","1972","-2500",""
"Cameroon","1967","-1000",""
"Cameroon","1962","0",""
"Canada","2012","1175863",""
"Canada","2007","1229905",""
"Canada","2002","1026702",""
"Canada","1997","761611",""
"Canada","1992","698764",""
"Canada","1987","875013",""
"Canada","1982","376129",""
"Canada","1977","438027",""
"Canada","1972","771526",""
"Canada","1967","608528",""
"Canada","1962","178066",""
"Cape Verde","2012","-11052",""
"Cape Verde","2007","-25866",""
"Cape Verde","2002","-9859",""
"Cape Verde","1997","-2438",""
"Cape Verde","1992","-6376",""
"Cape Verde","1987","-27757",""
"Cape Verde","1982","-20313",""
"Cape Verde","1977","-27982",""
"Cape Verde","1972","-34907",""
"Cape Verde","1967","4267",""
"Cape Verde","1962","-1167",""
"Central African Republic","2012","10000",""
"Central African Republic","2007","5000",""
"Central African Republic","2002","-45000",""
"Central African Republic","1997","11293",""
"Central African Republic","1992","37392",""
"Central African Republic","1987","-40982",""
"Central African Republic","1982","40165",""
"Central African Republic","1977","-1000",""
"Central African Republic","1972","-20075",""
"Central African Republic","1967","13145",""
"Central African Republic","1962","11930",""
"Chad","2012","100000",""
"Chad","2007","70000",""
"Chad","2002","218966",""
"Chad","1997","69444",""
"Chad","1992","-10374",""
"Chad","1987","1418",""
"Chad","1982","-131245",""
"Chad","1977","-175500",""
"Chad","1972","-49050",""
"Chad","1967","-40950",""
"Chad","1962","-5000",""
"Channel Islands","2012","3654",""
"Channel Islands","2007","4479",""
"Channel Islands","2002","4592",""
"Channel Islands","1997","3778",""
"Channel Islands","1992","2120",""
"Channel Islands","1987","6085",""
"Channel Islands","1982","5380",""
"Channel Islands","1977","1726",""
"Channel Islands","1972","4250",""
"Channel Islands","1967","3880",""
"Channel Islands","1962","2934",""
"Chile","2012","201289",""
"Chile","2007","139345",""
"Chile","2002","93789",""
"Chile","1997","71640",""
"Chile","1992","62545",""
"Chile","1987","7909",""
"Chile","1982","-37305",""
"Chile","1977","-50998",""
"Chile","1972","-51769",""
"Chile","1967","-42595",""
"Chile","1962","-33751",""
"China","2012","-1800000",""
"China","2007","-2202103",""
"China","2002","-2144051",""
"China","1997","-507000",""
"China","1992","-823657",""
"China","1987","-154256",""
"China","1982","-258072",""
"China","1977","-428313",""
"China","1972","-1113125",""
"China","1967","-12737",""
"China","1962","-1058832",""
"Colombia","2012","-144998",""
"Colombia","2007","-143000",""
"Colombia","2002","-159003",""
"Colombia","1997","-190000",""
"Colombia","1992","-223998",""
"Colombia","1987","-254001",""
"Colombia","1982","-273997",""
"Colombia","1977","-286998",""
"Colombia","1972","-289998",""
"Colombia","1967","-281000",""
"Colombia","1962","-253998",""
"Comoros","2012","-10000",""
"Comoros","2007","-10000",""
"Comoros","2002","-10000",""
"Comoros","1997","-6000",""
"Comoros","1992","-3000",""
"Comoros","1987","-4500",""
"Comoros","1982","-4500",""
"Comoros","1977","10000",""
"Comoros","1972","-5500",""
"Comoros","1967","-5500",""
"Comoros","1962","-8491",""
"Congo, Dem. Rep.","2012","-95920",""
"Congo, Dem. Rep.","2007","-43426",""
"Congo, Dem. Rep.","2002","-241564",""
"Congo, Dem. Rep.","1997","-1006384",""
"Congo, Dem. Rep.","1992","1202404",""
"Congo, Dem. Rep.","1987","74515",""
"Congo, Dem. Rep.","1982","-446860",""
"Congo, Dem. Rep.","1977","100685",""
"Congo, Dem. Rep.","1972","27450",""
"Congo, Dem. Rep.","1967","241910",""
"Congo, Dem. Rep.","1962","122650",""
"Congo, Rep.","2012","-60000",""
"Congo, Rep.","2007","49872",""
"Congo, Rep.","2002","-13257",""
"Congo, Rep.","1997","35300",""
"Congo, Rep.","1992","15531",""
"Congo, Rep.","1987","1915",""
"Congo, Rep.","1982","2097",""
"Congo, Rep.","1977","-7408",""
"Congo, Rep.","1972","6945",""
"Congo, Rep.","1967","500",""
"Congo, Rep.","1962","0",""
"Costa Rica","2012","19658",""
"Costa Rica","2007","30339",""
"Costa Rica","2002","41792",""
"Costa Rica","1997","89527",""
"Costa Rica","1992","69202",""
"Costa Rica","1987","17417",""
"Costa Rica","1982","18876",""
"Costa Rica","1977","17425",""
"Costa Rica","1972","12638",""
"Costa Rica","1967","7827",""
"Costa Rica","1962","7905",""
"Cote d'Ivoire","2012","50000",""
"Cote d'Ivoire","2007","-220000",""
"Cote d'Ivoire","2002","-370000",""
"Cote d'Ivoire","1997","180000",""
"Cote d'Ivoire","1992","375000",""
"Cote d'Ivoire","1987","325000",""
"Cote d'Ivoire","1982","430000",""
"Cote d'Ivoire","1977","420000",""
"Cote d'Ivoire","1972","400000",""
"Cote d'Ivoire","1967","300000",""
"Cote d'Ivoire","1962","200000",""
"Croatia","2012","-20000",""
"Croatia","2007","-22532",""
"Croatia","2002","-2580",""
"Croatia","1997","-188129",""
"Croatia","1992","-143579",""
"Croatia","1987","26145",""
"Croatia","1982","54369",""
"Croatia","1977","18681",""
"Croatia","1972","-18403",""
"Croatia","1967","-1225",""
"Croatia","1962","1854",""
"Cuba","2012","-79999",""
"Cuba","2007","-193998",""
"Cuba","2002","-149998",""
"Cuba","1997","-163997",""
"Cuba","1992","-120006",""
"Cuba","1987","-69999",""
"Cuba","1982","-270000",""
"Cuba","1977","-160000",""
"Cuba","1972","-190000",""
"Cuba","1967","-250000",""
"Cuba","1962","-205000",""
"Cyprus","2012","35000",""
"Cyprus","2007","44166",""
"Cyprus","2002","61830",""
"Cyprus","1997","53260",""
"Cyprus","1992","43195",""
"Cyprus","1987","17167",""
"Cyprus","1982","-27634",""
"Cyprus","1977","-1215",""
"Cyprus","1972","3053",""
"Cyprus","1967","-7843",""
"Cyprus","1962","-43025",""
"Czech Republic","2012","29999",""
"Czech Republic","2007","250889",""
"Czech Republic","2002","47402",""
"Czech Republic","1997","46002",""
"Czech Republic","1992","29999",""
"Czech Republic","1987","5671",""
"Czech Republic","1982","-52946",""
"Czech Republic","1977","9999",""
"Czech Republic","1972","9999",""
"Czech Republic","1967","-129099",""
"Czech Republic","1962","24999",""
"Denmark","2012","96839",""
"Denmark","2007","87989",""
"Denmark","2002","46306",""
"Denmark","1997","74568",""
"Denmark","1992","65466",""
"Denmark","1987","32839",""
"Denmark","1982","9319",""
"Denmark","1977","14925",""
"Denmark","1972","23256",""
"Denmark","1967","21866",""
"Denmark","1962","2256",""
"Djibouti","2012","-15996",""
"Djibouti","2007","-19965",""
"Djibouti","2002","-18151",""
"Djibouti","1997","-16501",""
"Djibouti","1992","-15000",""
"Djibouti","1987","89998",""
"Djibouti","1982","9999",""
"Djibouti","1977","91193",""
"Djibouti","1972","34997",""
"Djibouti","1967","25000",""
"Djibouti","1962","18000",""
"Dominican Republic","2012","-153010",""
"Dominican Republic","2007","-153773",""
"Dominican Republic","2002","-152553",""
"Dominican Republic","1997","-150146",""
"Dominican Republic","1992","-144154",""
"Dominican Republic","1987","-134470",""
"Dominican Republic","1982","-118102",""
"Dominican Republic","1977","-87098",""
"Dominican Republic","1972","-70824",""
"Dominican Republic","1967","-56172",""
"Dominican Republic","1962","-43490",""
"East Asia & Pacific (all income levels)","2012","-1457489",""
"East Asia & Pacific (all income levels)","2007","-5719538",""
"East Asia & Pacific (all income levels)","2002","-2992651",""
"East Asia & Pacific (all income levels)","1997","-385097",""
"East Asia & Pacific (all income levels)","1992","-2395809",""
"East Asia & Pacific (all income levels)","1987","392043",""
"East Asia & Pacific (all income levels)","1982","713290",""
"East Asia & Pacific (all income levels)","1977","-1454415",""
"East Asia & Pacific (all income levels)","1972","-808879",""
"East Asia & Pacific (all income levels)","1967","628975",""
"East Asia & Pacific (all income levels)","1962","-479477",""
"East Asia & Pacific (developing only)","2012","-3728059",""
"East Asia & Pacific (developing only)","2007","-8308340",""
"East Asia & Pacific (developing only)","2002","-4975250",""
"East Asia & Pacific (developing only)","1997","-1362174",""
"East Asia & Pacific (developing only)","1992","-3110397",""
"East Asia & Pacific (developing only)","1987","-390019",""
"East Asia & Pacific (developing only)","1982","-525665",""
"East Asia & Pacific (developing only)","1977","-1912183",""
"East Asia & Pacific (developing only)","1972","-1239154",""
"East Asia & Pacific (developing only)","1967","-582028",""
"East Asia & Pacific (developing only)","1962","-1086544",""
"Ecuador","2012","-38001",""
"Ecuador","2007","-44999",""
"Ecuador","2002","-120002",""
"Ecuador","1997","-69999",""
"Ecuador","1992","-19000",""
"Ecuador","1987","-16998",""
"Ecuador","1982","-14001",""
"Ecuador","1977","-7198",""
"Ecuador","1972","-5499",""
"Ecuador","1967","-5500",""
"Ecuador","1962","-9002",""
"Egypt, Arab Rep.","2012","-215681",""
"Egypt, Arab Rep.","2007","-279228",""
"Egypt, Arab Rep.","2002","-67708",""
"Egypt, Arab Rep.","1997","-204143",""
"Egypt, Arab Rep.","1992","-452508",""
"Egypt, Arab Rep.","1987","-205428",""
"Egypt, Arab Rep.","1982","-389781",""
"Egypt, Arab Rep.","1977","-563569",""
"Egypt, Arab Rep.","1972","-546796",""
"Egypt, Arab Rep.","1967","-239700",""
"Egypt, Arab Rep.","1962","-50100",""
"El Salvador","2012","-240415",""
"El Salvador","2007","-285671",""
"El Salvador","2002","-312786",""
"El Salvador","1997","-326853",""
"El Salvador","1992","-265152",""
"El Salvador","1987","-256685",""
"El Salvador","1982","-231749",""
"El Salvador","1977","-164230",""
"El Salvador","1972","-90977",""
"El Salvador","1967","-44306",""
"El Salvador","1962","-24031",""
"Equatorial Guinea","2012","20000",""
"Equatorial Guinea","2007","20000",""
"Equatorial Guinea","2002","25000",""
"Equatorial Guinea","1997","20000",""
"Equatorial Guinea","1992","15000",""
"Equatorial Guinea","1987","15000",""
"Equatorial Guinea","1982","65000",""
"Equatorial Guinea","1977","-30000",""
"Equatorial Guinea","1972","-70000",""
"Equatorial Guinea","1967","0",""
"Equatorial Guinea","1962","0",""
"Eritrea","2012","-160001",""
"Eritrea","2007","-160001",""
"Eritrea","2002","110001",""
"Eritrea","1997","-70000",""
"Eritrea","1992","-400002",""
"Eritrea","1987","-40000",""
"Eritrea","1982","10000",""
"Eritrea","1977","10000",""
"Eritrea","1972","10000",""
"Eritrea","1967","4999",""
"Eritrea","1962","6997",""
"Estonia","2012","-11850",""
"Estonia","2007","-15151",""
"Estonia","2002","-18406",""
"Estonia","1997","-1197",""
"Estonia","1992","-111876",""
"Estonia","1987","15497",""
"Estonia","1982","25900",""
"Estonia","1977","30510",""
"Estonia","1972","30581",""
"Estonia","1967","41204",""
"Estonia","1962","43228",""
"Ethiopia","2012","-60001",""
"Ethiopia","2007","-50132",""
"Ethiopia","2002","-83182",""
"Ethiopia","1997","-155577",""
"Ethiopia","1992","1445274",""
"Ethiopia","1987","780074",""
"Ethiopia","1982","250001",""
"Ethiopia","1977","-2024797",""
"Ethiopia","1972","-59597",""
"Ethiopia","1967","-42182",""
"Ethiopia","1962","-19999",""
"Euro area","2012","1575613",""
"Euro area","2007","4638063",""
"Euro area","2002","6201684",""
"Euro area","1997","2840300",""
"Euro area","1992","4907571",""
"Euro area","1987","2441366",""
"Euro area","1982","745736",""
"Euro area","1977","1627705",""
"Euro area","1972","2255999",""
"Euro area","1967","247447",""
"Euro area","1962","974732",""
"Europe & Central Asia (all income levels)","2012","5547385",""
"Europe & Central Asia (all income levels)","2007","7418656",""
"Europe & Central Asia (all income levels)","2002","6969397",""
"Europe & Central Asia (all income levels)","1997","480855",""
"Europe & Central Asia (all income levels)","1992","1950916",""
"Europe & Central Asia (all income levels)","1987","949003",""
"Europe & Central Asia (all income levels)","1982","833519",""
"Europe & Central Asia (all income levels)","1977","1429251",""
"Europe & Central Asia (all income levels)","1972","2318325",""
"Europe & Central Asia (all income levels)","1967","377468",""
"Europe & Central Asia (all income levels)","1962","1533274",""
"Europe & Central Asia (developing only)","2012","2121162",""
"Europe & Central Asia (developing only)","2007","58963",""
"Europe & Central Asia (developing only)","2002","-793952",""
"Europe & Central Asia (developing only)","1997","-2809431",""
"Europe & Central Asia (developing only)","1992","-3419220",""
"Europe & Central Asia (developing only)","1987","-1406767",""
"Europe & Central Asia (developing only)","1982","237484",""
"Europe & Central Asia (developing only)","1977","-202389",""
"Europe & Central Asia (developing only)","1972","31783",""
"Europe & Central Asia (developing only)","1967","224818",""
"Europe & Central Asia (developing only)","1962","10238",""
"European Union","2012","2324066",""
"European Union","2007","5884417",""
"European Union","2002","6933624",""
"European Union","1997","2448237",""
"European Union","1992","4201189",""
"European Union","1987","1796483",""
"European Union","1982","265084",""
"European Union","1977","1548770",""
"European Union","1972","2173816",""
"European Union","1967","23657",""
"European Union","1962","1217105",""
"Fiji","2012","-28720",""
"Fiji","2007","-28754",""
"Fiji","2002","-61797",""
"Fiji","1997","-42260",""
"Fiji","1992","-35796",""
"Fiji","1987","-66875",""
"Fiji","1982","-11628",""
"Fiji","1977","-20709",""
"Fiji","1972","-12506",""
"Fiji","1967","-9567",""
"Fiji","1962","2451",""
"Finland","2012","107409",""
"Finland","2007","71143",""
"Finland","2002","31935",""
"Finland","1997","22154",""
"Finland","1992","47223",""
"Finland","1987","18268",""
"Finland","1982","26181",""
"Finland","1977","-29377",""
"Finland","1972","28880",""
"Finland","1967","-97937",""
"Finland","1962","-64984",""
"France","2012","331555",""
"France","2007","480787",""
"France","2002","739395",""
"France","1997","188966",""
"France","1992","303416",""
"France","1987","481869",""
"France","1982","268131",""
"France","1977","146855",""
"France","1972","805181",""
"France","1967","416217",""
"France","1962","1466682",""
"French Polynesia","2012","-500",""
"French Polynesia","2007","-3463",""
"French Polynesia","2002","77",""
"French Polynesia","1997","3483",""
"French Polynesia","1992","-4324",""
"French Polynesia","1987","241",""
"French Polynesia","1982","3650",""
"French Polynesia","1977","3844",""
"French Polynesia","1972","4388",""
"French Polynesia","1967","3344",""
"French Polynesia","1962","3190",""
"Gabon","2012","5000",""
"Gabon","2007","9566",""
"Gabon","2002","9566",""
"Gabon","1997","9566",""
"Gabon","1992","4999",""
"Gabon","1987","4999",""
"Gabon","1982","4999",""
"Gabon","1977","4999",""
"Gabon","1972","2999",""
"Gabon","1967","16188",""
"Gabon","1962","9410",""
"Gambia, The","2012","-13476",""
"Gambia, The","2007","-13742",""
"Gambia, The","2002","-13742",""
"Gambia, The","1997","-26418",""
"Gambia, The","1992","-14801",""
"Gambia, The","1987","48392",""
"Gambia, The","1982","19475",""
"Gambia, The","1977","-3380",""
"Gambia, The","1972","9392",""
"Gambia, The","1967","118",""
"Gambia, The","1962","-3232",""
"Georgia","2012","-296323",""
"Georgia","2007","-289534",""
"Georgia","2002","-309021",""
"Georgia","1997","-390036",""
"Georgia","1992","-544069",""
"Georgia","1987","-61577",""
"Georgia","1982","-18616",""
"Georgia","1977","-78920",""
"Georgia","1972","-32156",""
"Georgia","1967","24146",""
"Georgia","1962","51113",""
"Germany","2012","1249998",""
"Germany","2007","31640",""
"Germany","2002","1217",""
"Germany","1997","744288",""
"Germany","1992","3232654",""
"Germany","1987","1710683",""
"Germany","1982","23",""
"Germany","1977","288662",""
"Germany","1972","714153",""
"Germany","1967","917575",""
"Germany","1962","666962",""
"Ghana","2012","-49999",""
"Ghana","2007","189259",""
"Ghana","2002","165518",""
"Ghana","1997","-112636",""
"Ghana","1992","-16285",""
"Ghana","1987","-30003",""
"Ghana","1982","206001",""
"Ghana","1977","-563999",""
"Ghana","1972","-164002",""
"Ghana","1967","-361999",""
"Ghana","1962","0",""
"Greece","2012","-136299",""
"Greece","2007","80157",""
"Greece","2002","113586",""
"Greece","1997","297431",""
"Greece","1992","464636",""
"Greece","1987","158887",""
"Greece","1982","114020",""
"Greece","1977","330211",""
"Greece","1972","10771",""
"Greece","1967","-99122",""
"Greece","1962","-145243",""
"Grenada","2012","-4274",""
"Grenada","2007","-4274",""
"Grenada","2002","-4132",""
"Grenada","1997","-4912",""
"Grenada","1992","-3923",""
"Grenada","1987","-15001",""
"Grenada","1982","-288",""
"Grenada","1977","-12867",""
"Grenada","1972","-11426",""
"Grenada","1967","-9319",""
"Grenada","1962","-8968",""
"Guam","2012","0",""
"Guam","2007","-9776",""
"Guam","2002","-9556",""
"Guam","1997","-4116",""
"Guam","1992","1739",""
"Guam","1987","99",""
"Guam","1982","109",""
"Guam","1977","-1511",""
"Guam","1972","-2131",""
"Guam","1967","-1442",""
"Guam","1962","-2905",""
"Guatemala","2012","-120001",""
"Guatemala","2007","-132000",""
"Guatemala","2002","-199998",""
"Guatemala","1997","-280001",""
"Guatemala","1992","-260001",""
"Guatemala","1987","-250001",""
"Guatemala","1982","-220003",""
"Guatemala","1977","-180001",""
"Guatemala","1972","-81000",""
"Guatemala","1967","-40498",""
"Guatemala","1962","-19999",""
"Guinea","2012","-10000",""
"Guinea","2007","-55577",""
"Guinea","2002","-368004",""
"Guinea","1997","-246148",""
"Guinea","1992","800000",""
"Guinea","1987","162450",""
"Guinea","1982","-38000",""
"Guinea","1977","-353000",""
"Guinea","1972","-275000",""
"Guinea","1967","-18000",""
"Guinea","1962","-13857",""
"Guinea-Bissau","2012","-10000",""
"Guinea-Bissau","2007","-25000",""
"Guinea-Bissau","2002","-30000",""
"Guinea-Bissau","1997","-30000",""
"Guinea-Bissau","1992","-30000",""
"Guinea-Bissau","1987","-28000",""
"Guinea-Bissau","1982","-30000",""
"Guinea-Bissau","1977","-28000",""
"Guinea-Bissau","1972","-15000",""
